ID;Date;Société;Nom;Adresse;Numéro d'entreprise;Code d'activité;Numéro de TVA;Numéro de téléphone;Adresse email;Site internet;Devise;Montant HT;Montant TVA;Montant TTC
A1900001;06/09/2019 02:40;DC;Nom1 Prénom1;Rue de Balart 53 5000 Namur Belgique;258741;321654;123321;0494607670;supermail@mail.com;www.proute.be;€;-10,00;-1,20;-11,20
F1900001;06/09/2019 02:40;DC;Hugo Collot;Rue de Balart 53 5000 Namur Belgique;258741;321654;123321;0494607670;collot.hugo@gmail.com;www.proute.be;€;300,00;36,00;336,00
F1900002;09/09/2019 09:11;Poupoudi;;Belgique;;;;;;;€;100,00;12,00;112,00
F1900004;26/09/2019 00:57;HelloTeam;Bruce Wayne;Belgique;;;;0494606060;batman@gmail.com;www.batman.swag;€;2 250,00;270,00;2 520,00
F20190926006;26/09/2019 01:00;DC;George Pompidou;Rue de Balart 53 5000 Namur Belgique;258741;321654;123321;0494607670;hugo.collot@gmail.com;www.proute.be;€;50,00;0,00;50,00
F1900007;26/09/2019 19:17;;Peter Griffin;Belgique;;;;;;;€;250,00;30,00;280,00
F1900008;01/10/2019 13:27;DC;Hugo Collot;Rue de Balart 53 5000 Namur Belgique;258741;321654;123321;0494607670;collot.hugo@gmail.com;www.proute.be;€;299,25;35,91;335,16
F1900009;08/10/2019 13:47;DC;;Rue de Balart 53 5000 Namur Belgique;258741;321654;123321;0494607670;;www.proute.be;€;2,00;0,24;2,24
A1900002;04/11/2019 14:02;HelloTeam;Bruce Wayne;Belgique;;;;0494606060;batman@gmail.com;www.batman.swag;€;-1 000,00;-120,00;-1 120,00
F19000010;04/11/2019 14:19;DC;Hugo Collot;Rue de Balart 53 5000 Namur Belgique;258741;321654;123321;0494607670;collot.hugo@gmail.com;www.proute.be;€;90 000,00;10 800,00;100 800,00

;;;;;;;;;;;Totaux;92 241,25;11 062,95;103 304,20
